type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);ernsthaft;sérieux (véritablement);serious, earnest;Das ist ein ernsthaftes Missverständnis.;C'est un malentendu sérieux.;That is a serious misunderstanding.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);gleichzeitig;simultané;simultaneous;Sie spricht drei Sprachen gleichzeitig fließend.;Elle parle couramment trois langues en même temps.;She speaks three languages fluently at the same time.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);mehrsprachig/einsprachig;plurilingue/unilingue;multilingual/monolingual;Die Schule bietet einen mehrsprachigen Unterricht an.;L'école propose un enseignement plurilingue.;The school offers multilingual teaching.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);merkwürdig;étrange, curieux;strange, odd;Das war eine merkwürdige Situation.;C'était une situation étrange.;That was a strange situation.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);optimistisch/pessimistisch;optimiste/pessimiste;optimistic/pessimistic;Sie bleibt trotz allem optimistisch.;Elle reste optimiste malgré tout.;She remains optimistic despite everything.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);sauer;fâché, en colère;annoyed, angry;Er war sauer wegen des Missverständnisses.;Il était fâché à cause du malentendu.;He was annoyed because of the misunderstanding.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);schriftlich/mündlich;écrit/oral;written/oral;Bitte bestätigen Sie das schriftlich.;Veuillez le confirmer par écrit.;Please confirm this in writing.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);seltsam;bizarre, étrange;strange, odd;Er hat sich seltsam verhalten.;Il s'est comporté bizarrement.;He behaved strangely.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);stolz;fier;proud;Sie ist stolz auf ihre Kultur.;Elle est fière de sa culture.;She is proud of her culture.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);tolerant/intolerant;tolérant/intolérant;tolerant/intolerant;Er ist sehr tolerant gegenüber anderen Religionen.;Il est très tolérant envers les autres religions.;He is very tolerant of other religions.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);üblich/unüblich;habituel/inhabituel;usual/unusual;Das ist hier nicht üblich.;Ce n'est pas habituel ici.;That's not usual here.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);ungewöhnlich;inhabituel;unusual;Sein Witz war ziemlich ungewöhnlich.;Sa blague était assez inhabituelle.;His joke was quite unusual.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);zufällig;par hasard, aléatoire;random, accidental;Wir haben uns rein zufällig getroffen.;Nous nous sommes rencontrés par pur hasard.;We met purely by chance.
adjectif (chapitre VHS);B1;Kapitel 6 (VHS);ansprechbar;abordable, disponible (pour parler);approachable, responsive;Der Patient ist nach der Narkose wieder ansprechbar.;Le patient est de nouveau réceptif après l'anesthésie.;The patient is responsive again after the anesthesia.
adjectif (chapitre VHS);B1;Kapitel 6 (VHS);schwach/stark;faible/fort;weak/strong;Sie fühlt sich nach der Krankheit noch schwach.;Elle se sent encore faible après la maladie.;She still feels weak after the illness.
adjectif (chapitre VHS);B1;Kapitel 6 (VHS);speziell;spécial;special;Er braucht ein spezielles Medikament.;Il a besoin d'un médicament spécial.;He needs a special medication.
adjectif (chapitre VHS);B1;Kapitel 6 (VHS);tief/hoch;profond/élevé;deep/high;Die Wunde ist ziemlich tief.;La blessure est assez profonde.;The wound is quite deep.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);elektrisch;électrique;electric;Sie fahren jetzt ein elektrisches Auto.;Ils conduisent maintenant une voiture électrique.;They now drive an electric car.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);global;mondial, global;global;Der Klimawandel ist ein globales Problem.;Le changement climatique est un problème mondial.;Climate change is a global problem.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);grundsätzlich;fondamental, en principe;fundamental, basically;Grundsätzlich bin ich mit dir einer Meinung.;En principe, je suis d'accord avec toi.;Basically, I agree with you.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);ökologisch;écologique;ecological;Sie kaufen nur ökologische Produkte.;Ils n'achètent que des produits écologiques.;They only buy ecological products.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);schädlich;nocif;harmful;Abgase sind schädlich für die Umwelt.;Les gaz d'échappement sont nocifs pour l'environnement.;Exhaust fumes are harmful to the environment.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);sinnlos/sinnvoll;insensé/sensé;pointless/sensible;Es wäre sinnlos, jetzt noch zu protestieren.;Il serait insensé de protester maintenant.;It would be pointless to protest now.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);wahnsinnig;fou, énorme (intensif);crazy, insane;Das kostet wahnsinnig viel Energie.;Cela coûte énormément d'énergie.;That costs an insane amount of energy.
adjectif (chapitre VHS);B1;Kapitel 7 (VHS);wertvoll;précieux;valuable;Sauberes Wasser ist sehr wertvoll.;L'eau propre est très précieuse.;Clean water is very valuable.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);ehemalig;ancien (précédent);former;Sie trifft sich mit ihrem ehemaligen Klassenkameraden.;Elle rencontre son ancien camarade de classe.;She is meeting her former classmate.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);enttäuschend;décevant;disappointing;Das Ergebnis war ziemlich enttäuschend.;Le résultat était assez décevant.;The result was quite disappointing.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);faszinierend;fascinant;fascinating;Die Geschichte der Region ist faszinierend.;L'histoire de la région est fascinante.;The history of the region is fascinating.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);super (spannend);super, génial;great, super;Der Film war super spannend.;Le film était super captivant.;The movie was super exciting.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);total (gut);tout à fait, complètement;totally, completely;Das war eine total gute Idee.;C'était une très bonne idée.;That was a totally good idea.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);überhaupt (nicht gut);du tout (pas bon du tout);at all (not good at all);Das schmeckt überhaupt nicht gut.;Ça n'a pas bon goût du tout.;This doesn't taste good at all.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);wirklich (gut);vraiment (bon);really (good);Das war wirklich ein guter Film.;C'était vraiment un bon film.;That was really a good movie.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);ziemlich (langweilig);assez, plutôt (ennuyeux);quite, rather (boring);Der Vortrag war ziemlich langweilig.;La conférence était plutôt ennuyeuse.;The talk was rather boring.
adjectif (chapitre VHS);B1;Kapitel 8 (VHS);zugleich;à la fois, en même temps;at the same time;Er ist Lehrer und Musiker zugleich.;Il est enseignant et musicien à la fois.;He is a teacher and a musician at the same time.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);derzeitig;actuel;current;In ihrer derzeitigen Stelle ist sie sehr zufrieden.;Elle est très satisfaite de son poste actuel.;She is very satisfied in her current position.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);engagiert;engagé, impliqué;committed, engaged;Er ist ein sehr engagierter Mitarbeiter.;C'est un employé très engagé.;He is a very committed employee.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);hungrig;affamé;hungry;Nach der Arbeit ist er immer hungrig.;Après le travail, il a toujours faim.;After work he is always hungry.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);mehrjährig;pluriannuel, de plusieurs années;multi-year, of several years;Sie hat mehrjährige Erfahrung in diesem Bereich.;Elle a une expérience de plusieurs années dans ce domaine.;She has several years of experience in this field.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);selbstständig;indépendant, autonome;independent, self-employed;Er arbeitet seit zwei Jahren selbstständig.;Il travaille en indépendant depuis deux ans.;He has been self-employed for two years.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);überdurchschnittlich;au-dessus de la moyenne;above average;Sie verdient ein überdurchschnittliches Gehalt.;Elle gagne un salaire au-dessus de la moyenne.;She earns an above-average salary.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);technisch;technique;technical;Er hat gute technische Kenntnisse.;Il a de bonnes connaissances techniques.;He has good technical knowledge.
adjectif (chapitre VHS);B1;Kapitel 9 (VHS);unzufrieden;insatisfait;dissatisfied;Viele Mitarbeiter sind mit dem Gehalt unzufrieden.;Beaucoup d'employés sont insatisfaits de leur salaire.;Many employees are dissatisfied with their salary.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);begrenzt;limité;limited;Die Anzahl der Plätze ist begrenzt.;Le nombre de places est limité.;The number of seats is limited.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);gleichberechtigt;égal en droits;equal (in rights);Männer und Frauen sind im Sport nicht immer gleichberechtigt.;Les hommes et les femmes ne sont pas toujours égaux dans le sport.;Men and women are not always equal in sports.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);großzügig;généreux;generous;Der Sponsor war sehr großzügig.;Le sponsor a été très généreux.;The sponsor was very generous.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);klassisch;classique;classic;Fußball ist eine klassische Mannschaftssportart.;Le football est un sport d'équipe classique.;Soccer is a classic team sport.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);kräftig;vigoureux, fort;strong, powerful;Der Schwimmer hat kräftige Arme.;Le nageur a des bras puissants.;The swimmer has powerful arms.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);männlich/weiblich;masculin/féminin;male/female;Es gibt eine männliche und eine weibliche Mannschaft.;Il y a une équipe masculine et une équipe féminine.;There is a men's team and a women's team.
adjectif (chapitre VHS);B1;Kapitel 10 (VHS);zahlreich;nombreux;numerous;Zahlreiche Fans kamen zum Spiel.;De nombreux fans sont venus au match.;Numerous fans came to the game.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);alleinerziehend;monoparental (parent seul);single-parent;Sie ist eine alleinerziehende Mutter.;Elle est mère célibataire.;She is a single mother.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);evangelisch;protestant, évangélique;Protestant;Seine Familie ist evangelisch.;Sa famille est protestante.;His family is Protestant.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);finanziell;financier;financial;Die finanzielle Lage der Familie ist schwierig.;La situation financière de la famille est difficile.;The family's financial situation is difficult.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);gleichaltrig;du même âge;of the same age;Sie spielt gern mit gleichaltrigen Kindern.;Elle aime jouer avec des enfants du même âge.;She likes to play with children of the same age.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);katholisch;catholique;Catholic;Er wurde katholisch erzogen.;Il a été élevé dans la religion catholique.;He was raised Catholic.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);locker;détendu, relâché;relaxed, easygoing;Die Beziehung zwischen ihnen ist ziemlich locker.;La relation entre eux est plutôt décontractée.;The relationship between them is quite relaxed.
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);realistisch;réaliste;realistic;Sei doch mal realistisch!;Sois donc réaliste !;Just be realistic!
adjectif (chapitre VHS);B1;Kapitel 11 (VHS);vernünftig;raisonnable, sensé;reasonable, sensible;Das ist eine vernünftige Entscheidung.;C'est une décision raisonnable.;That is a reasonable decision.
adjectif (chapitre VHS);B1;Kapitel 12 (VHS);beruflich;professionnel;professional, career-related;Sie möchte sich beruflich verändern.;Elle souhaite changer professionnellement.;She wants to make a career change.
adjectif (chapitre VHS);B1;Kapitel 12 (VHS);kosmetisch;cosmétique;cosmetic;Das ist nur eine kosmetische Veränderung.;Ce n'est qu'un changement cosmétique.;That's only a cosmetic change.
adjectif (chapitre VHS);B1;Kapitel 12 (VHS);tabellarisch;sous forme de tableau;in tabular form;Bitte erstellen Sie einen tabellarischen Lebenslauf.;Veuillez rédiger un CV sous forme de tableau.;Please prepare a résumé in tabular form.
adjectif (chapitre VHS);B1;Kapitel 12 (VHS);zukünftig;futur;future;Ihre zukünftigen Pläne sind noch unklar.;Ses projets futurs ne sont pas encore clairs.;Her future plans are still unclear.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);behindert;handicapé;disabled;Der Verein hilft behinderten Menschen.;L'association aide les personnes handicapées.;The association helps disabled people.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);ehrenamtlich;bénévole;voluntary;Sie arbeitet ehrenamtlich im Altenheim.;Elle travaille bénévolement à la maison de retraite.;She volunteers at the nursing home.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);gesellschaftlich;social, sociétal;societal, social;Ehrenamtliches Engagement hat einen großen gesellschaftlichen Wert.;L'engagement bénévole a une grande valeur sociale.;Volunteer work has great societal value.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);jugendlich;juvénile, jeune;youthful, juvenile;Er wirkt trotz seines Alters sehr jugendlich.;Il paraît très jeune malgré son âge.;He seems very youthful despite his age.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);konkret;concret;concrete;Wir brauchen einen konkreten Plan.;Nous avons besoin d'un plan concret.;We need a concrete plan.
adjectif (chapitre VHS);B1;Kapitel 13 (VHS);wünschenswert;souhaitable;desirable;Mehr Freiwillige wären sehr wünschenswert.;Davantage de bénévoles seraient très souhaitables.;More volunteers would be very desirable.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);erschöpft;épuisé;exhausted;Nach dem Konzert war sie völlig erschöpft.;Après le concert, elle était complètement épuisée.;After the concert she was completely exhausted.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);extrem;extrême;extreme;Das Wetter war dieses Jahr extrem.;Le temps a été extrême cette année.;The weather was extreme this year.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);logisch;logique;logical;Das ist eine völlig logische Erklärung.;C'est une explication tout à fait logique.;That's a completely logical explanation.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);motiviert;motivé;motivated;Die neue Praktikantin ist sehr motiviert.;La nouvelle stagiaire est très motivée.;The new intern is very motivated.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);ruhig;calme;calm;Der Bürgermeister blieb während der Debatte ruhig.;Le maire est resté calme pendant le débat.;The mayor remained calm during the debate.
adjectif (chapitre VHS);B1;Kapitel 14 (VHS);witzig;drôle, amusant;funny;Der Moderator war wirklich witzig.;L'animateur était vraiment drôle.;The host was really funny.
adjectif (chapitre VHS);B1;Kapitel 15 (VHS);alltäglich;quotidien, banal;everyday, ordinary;Das ist für uns ein ganz alltäglicher Anblick.;C'est pour nous un spectacle tout à fait quotidien.;That's a completely everyday sight for us.
adjectif (chapitre VHS);B1;Kapitel 15 (VHS);exotisch;exotique;exotic;Die Stadt hat einen exotischen Charme.;La ville a un charme exotique.;The city has an exotic charm.
adjectif (chapitre VHS);B1;Kapitel 15 (VHS);historisch;historique;historical;Das historische Zentrum ist sehr gut erhalten.;Le centre historique est très bien conservé.;The historic center is very well preserved.
adjectif (chapitre VHS);B1;Kapitel 15 (VHS);touristisch;touristique;touristic, tourist;Diese Straße ist sehr touristisch geprägt.;Cette rue a un caractère très touristique.;This street has a very touristic character.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);befristet/unbefristet;à durée déterminée/indéterminée;fixed-term/permanent;Sie hat einen unbefristeten Vertrag bekommen.;Elle a obtenu un contrat à durée indéterminée.;She got a permanent contract.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);englischsprachig/deutschsprachig;anglophone/germanophone;English-speaking/German-speaking;Er sucht eine englischsprachige Zeitung.;Il cherche un journal anglophone.;He is looking for an English-language newspaper.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);eindeutig;clair, sans ambiguïté;clear, unambiguous;Das Gesetz ist in diesem Punkt eindeutig.;La loi est claire sur ce point.;The law is clear on this point.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);fest;fixe, ferme;fixed, firm;Sie hat jetzt eine feste Stelle.;Elle a maintenant un poste fixe.;She now has a permanent position.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);humorvoll/humorlos;plein d'humour/sans humour;humorous/humorless;Der neue Kollege ist sehr humorvoll.;Le nouveau collègue a beaucoup d'humour.;The new colleague is very humorous.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);legal/illegal;légal/illégal;legal/illegal;Der Aufenthalt muss legal sein.;Le séjour doit être légal.;The stay must be legal.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);musikalisch/unmusikalisch;musical/pas musical;musical/unmusical;Ihre Tochter ist sehr musikalisch.;Sa fille est très musicale.;Her daughter is very musical.
adjectif (chapitre VHS);B1;Kapitel 16 (VHS);völlig;complètement, totalement;completely, totally;Das ist eine völlig neue Situation für ihn.;C'est une situation complètement nouvelle pour lui.;This is a completely new situation for him.
adjectif;A1;;gut;bon, bien;good;Der Kuchen schmeckt sehr gut.;Le gâteau a très bon goût.;The cake tastes very good.
adjectif;A1;;schlecht;mauvais;bad;Mir geht es heute schlecht.;Je ne me sens pas bien aujourd'hui.;I don't feel well today.
adjectif;A1;;groß;grand;big, tall;Mein Bruder ist sehr groß.;Mon frère est très grand.;My brother is very tall.
adjectif;A1;;klein;petit;small;Das Baby hat kleine Hände.;Le bébé a de petites mains.;The baby has small hands.
adjectif;A1;;neu;neuf, nouveau;new;Ich habe ein neues Handy gekauft.;J'ai acheté un nouveau téléphone.;I bought a new phone.
adjectif;A1;;alt;vieux, âgé;old;Meine Großmutter ist schon sehr alt.;Ma grand-mère est déjà très âgée.;My grandmother is already very old.
adjectif;A1;;jung;jeune;young;Die jungen Leute tanzen gern.;Les jeunes aiment danser.;Young people like to dance.
adjectif;A1;;schön;beau, joli;beautiful, nice;Das Wetter ist heute schön.;Le temps est beau aujourd'hui.;The weather is nice today.
adjectif;A1;;hässlich;laid;ugly;Der alte Stuhl sieht hässlich aus.;La vieille chaise a l'air laide.;The old chair looks ugly.
adjectif;A1;;schnell;rapide;fast;Der Zug fährt sehr schnell.;Le train roule très vite.;The train goes very fast.
adjectif;A1;;langsam;lent;slow;Die Schnecke bewegt sich langsam.;L'escargot se déplace lentement.;The snail moves slowly.
adjectif;A1;;warm;chaud;warm;Im Sommer ist es warm.;En été, il fait chaud.;In summer it's warm.
adjectif;A1;;kalt;froid;cold;Im Winter ist es kalt.;En hiver, il fait froid.;In winter it's cold.
adjectif;A1;;heiß;brûlant, très chaud;hot;Die Suppe ist noch heiß.;La soupe est encore brûlante.;The soup is still hot.
adjectif;A1;;teuer;cher;expensive;Das Auto ist mir zu teuer.;La voiture est trop chère pour moi.;The car is too expensive for me.
adjectif;A1;;billig;bon marché;cheap;Die Äpfel sind heute billig.;Les pommes sont bon marché aujourd'hui.;The apples are cheap today.
adjectif;A1;;leicht;léger, facile;light, easy;Die Tasche ist ganz leicht.;Le sac est très léger.;The bag is very light.
adjectif;A1;;schwer;lourd, difficile;heavy, difficult;Der Koffer ist sehr schwer.;La valise est très lourde.;The suitcase is very heavy.
adjectif;A1;;lang;long;long;Der Weg zur Schule ist lang.;Le chemin vers l'école est long.;The way to school is long.
adjectif;A1;;kurz;court;short;Sie hat kurze Haare.;Elle a les cheveux courts.;She has short hair.
adjectif;A1;;hoch;haut;high, tall;Der Turm ist sehr hoch.;La tour est très haute.;The tower is very tall.
adjectif;A1;;niedrig;bas;low;Der Tisch ist ziemlich niedrig.;La table est plutôt basse.;The table is quite low.
adjectif;A1;;breit;large;wide;Die Straße ist sehr breit.;La rue est très large.;The street is very wide.
adjectif;A1;;schmal;étroit;narrow;Die Gasse ist eng und schmal.;La ruelle est étroite et resserrée.;The alley is narrow and tight.
adjectif;A1;;hell;clair, lumineux;bright, light;Das Zimmer ist hell.;La pièce est claire.;The room is bright.
adjectif;A1;;dunkel;sombre;dark;Nachts ist der Wald dunkel.;La nuit, la forêt est sombre.;At night, the forest is dark.
adjectif;A1;;laut;bruyant, fort;loud;Die Musik ist mir zu laut.;La musique est trop forte pour moi.;The music is too loud for me.
adjectif;A1;;leise;silencieux, doux;quiet, soft;Sprich bitte etwas leiser.;Parle un peu plus doucement, s'il te plaît.;Please speak a bit more quietly.
adjectif;A1;;müde;fatigué;tired;Ich bin heute sehr müde.;Je suis très fatigué aujourd'hui.;I'm very tired today.
adjectif;A1;;glücklich;heureux;happy;Die Kinder sind sehr glücklich.;Les enfants sont très heureux.;The children are very happy.
adjectif;A1;;traurig;triste;sad;Er ist traurig, weil sein Hund krank ist.;Il est triste parce que son chien est malade.;He is sad because his dog is sick.
adjectif;A1;;nett;sympa, gentil;nice;Meine Nachbarin ist sehr nett.;Ma voisine est très sympa.;My neighbor is very nice.
adjectif;A1;;freundlich;aimable;friendly;Der Verkäufer war sehr freundlich.;Le vendeur était très aimable.;The salesman was very friendly.
adjectif;A1;;hungrig;affamé;hungry;Nach dem Sport bin ich hungrig.;Après le sport, j'ai faim.;After sports, I'm hungry.
adjectif;A1;;durstig;assoiffé;thirsty;Bei der Hitze bin ich durstig.;Avec cette chaleur, j'ai soif.;In this heat, I'm thirsty.
adjectif;A1;;krank;malade;sick;Er bleibt zu Hause, weil er krank ist.;Il reste à la maison parce qu'il est malade.;He stays home because he's sick.
adjectif;A1;;gesund;en bonne santé, sain;healthy;Obst und Gemüse sind gesund.;Les fruits et légumes sont bons pour la santé.;Fruits and vegetables are healthy.
adjectif;A1;;rot;rouge;red;Die Tomate ist rot.;La tomate est rouge.;The tomato is red.
adjectif;A1;;blau;bleu;blue;Der Himmel ist heute blau.;Le ciel est bleu aujourd'hui.;The sky is blue today.
adjectif;A1;;grün;vert;green;Das Gras ist grün.;L'herbe est verte.;The grass is green.
adjectif;A1;;gelb;jaune;yellow;Die Banane ist gelb.;La banane est jaune.;The banana is yellow.
adjectif;A1;;schwarz;noir;black;Die Katze ist schwarz.;Le chat est noir.;The cat is black.
adjectif;A1;;weiß;blanc;white;Der Schnee ist weiß.;La neige est blanche.;The snow is white.
