type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
expression;A1;Begrüßung/Small Talk;Gern geschehen;Je vous en prie;You're welcome;Vielen Dank! – Gern geschehen.;Merci beaucoup ! – Je vous en prie.;Thank you very much! – You're welcome.
expression;A1;Alltag/Organisation;Wie bitte?;Pardon ? (je n'ai pas compris);Sorry, what?;Wie bitte? Können Sie das wiederholen?;Pardon ? Pouvez-vous répéter ?;Sorry, what? Could you repeat that?
expression;A1;Alltag/Organisation;Ich hätte gern;Je voudrais;I would like;Ich hätte gern einen Kaffee, bitte.;Je voudrais un café, s'il vous plaît.;I would like a coffee, please.
expression;A1;Alltag/Organisation;Was kostet das?;Combien ça coûte ?;How much is that?;Entschuldigung, was kostet das?;Excusez-moi, combien ça coûte ?;Excuse me, how much is that?
expression;A1;Alltag/Organisation;Zu Hause;À la maison;At home;Am Sonntag bleibe ich zu Hause.;Le dimanche, je reste à la maison.;On Sunday I stay at home.
expression;A1;Feste Verbindungen;Angst haben;avoir peur;to be afraid;Das Kind hat Angst vor dem Hund.;L'enfant a peur du chien.;The child is afraid of the dog.
expression;A1;Feste Verbindungen;Hunger haben;avoir faim;to be hungry;Ich habe Hunger, gehen wir essen?;J'ai faim, on va manger ?;I'm hungry, shall we go eat?
expression;A1;Feste Verbindungen;Recht haben;avoir raison;to be right;Du hast Recht, das ist zu teuer.;Tu as raison, c'est trop cher.;You're right, that's too expensive.
expression;A1;Feste Verbindungen;Spaß machen;être amusant, plaire;to be fun;Der Deutschkurs macht mir Spaß.;Le cours d'allemand me plaît.;The German course is fun for me.
expression;A1;Begrüßung/Small Talk;Guten Morgen;bonjour (le matin);good morning;Guten Morgen! Hast du gut geschlafen?;Bonjour ! Tu as bien dormi ?;Good morning! Did you sleep well?
expression;A1;Begrüßung/Small Talk;Guten Abend;bonsoir;good evening;Guten Abend, schön dich zu sehen.;Bonsoir, content de te voir.;Good evening, nice to see you.
expression;A1;Begrüßung/Small Talk;Gute Nacht;bonne nuit;good night;Gute Nacht, bis morgen!;Bonne nuit, à demain !;Good night, see you tomorrow!
expression;A1;Begrüßung/Small Talk;Auf Wiedersehen;au revoir;goodbye;Auf Wiedersehen, Frau Weber!;Au revoir, Madame Weber !;Goodbye, Mrs Weber!
expression;A1;Begrüßung/Small Talk;Tschüss;salut (en partant);bye;Tschüss, wir sehen uns morgen.;Salut, on se voit demain.;Bye, see you tomorrow.
expression;A1;Begrüßung/Small Talk;Freut mich;enchanté;nice to meet you;Ich heiße Lena. — Freut mich!;Je m'appelle Lena. — Enchanté !;My name is Lena. — Nice to meet you!
expression;A1;Begrüßung/Small Talk;Bis morgen;à demain;see you tomorrow;Ich gehe jetzt. Bis morgen!;J'y vais. À demain !;I'm off now. See you tomorrow!
expression;A1;Begrüßung/Small Talk;Schönes Wochenende;bon week-end;have a nice weekend;Schönes Wochenende, Herr Klein!;Bon week-end, Monsieur Klein !;Have a nice weekend, Mr Klein!
expression;A1;Begrüßung/Small Talk;Wie heißen Sie?;comment vous appelez-vous ?;what is your name?;Guten Tag, wie heißen Sie?;Bonjour, comment vous appelez-vous ?;Hello, what is your name?
expression;A1;Meinung/Zustimmung;Natürlich;bien sûr;of course;Kommst du mit? — Natürlich!;Tu viens ? — Bien sûr !;Are you coming? — Of course!
expression;A1;Meinung/Zustimmung;Vielleicht;peut-être;maybe;Vielleicht regnet es morgen.;Il pleuvra peut-être demain.;Maybe it will rain tomorrow.
expression;A1;Meinung/Zustimmung;Ich weiß nicht;je ne sais pas;I don't know;Wo ist der Bahnhof? — Ich weiß nicht.;Où est la gare ? — Je ne sais pas.;Where is the station? — I don't know.
expression;A1;Meinung/Zustimmung;Gute Idee;bonne idée;good idea;Gehen wir ins Kino? — Gute Idee!;On va au cinéma ? — Bonne idée !;Shall we go to the cinema? — Good idea!
expression;A1;Meinung/Zustimmung;Ich denke;je pense;I think;Ich denke, das ist zu teuer.;Je pense que c'est trop cher.;I think that's too expensive.
expression;A1;Meinung/Zustimmung;Ich bin dabei;je suis partant;I'm in;Wir gehen schwimmen. — Ich bin dabei!;On va nager. — Je suis partant !;We're going swimming. — I'm in!
expression;A1;Meinung/Zustimmung;Lieber nicht;plutôt pas;I'd rather not;Sollen wir laufen? — Lieber nicht, es regnet.;On y va à pied ? — Plutôt pas, il pleut.;Shall we walk? — I'd rather not, it's raining.
expression;A1;Meinung/Zustimmung;Warum nicht?;pourquoi pas ?;why not?;Trinken wir einen Kaffee? — Warum nicht?;On prend un café ? — Pourquoi pas ?;Shall we have a coffee? — Why not?
expression;A1;Gefühle/Reaktionen;Durst haben;avoir soif;to be thirsty;Ich habe Durst, hast du Wasser?;J'ai soif, tu as de l'eau ?;I'm thirsty, do you have water?
expression;A1;Gefühle/Reaktionen;Müde sein;être fatigué;to be tired;Ich bin sehr müde heute Abend.;Je suis très fatigué ce soir.;I'm very tired tonight.
expression;A1;Gefühle/Reaktionen;Das freut mich;ça me fait plaisir;I'm glad;Ich habe die Prüfung bestanden. — Das freut mich!;J'ai réussi l'examen. — Ça me fait plaisir !;I passed the exam. — I'm glad!
expression;A1;Gefühle/Reaktionen;Wie schön!;que c'est beau !;how lovely!;Wie schön, dass du da bist!;Que c'est beau que tu sois là !;How lovely that you're here!
expression;A1;Gefühle/Reaktionen;Lust haben auf;avoir envie de;to feel like;Ich habe Lust auf ein Eis.;J'ai envie d'une glace.;I feel like an ice cream.
expression;A1;Gefühle/Reaktionen;Sich wohlfühlen;se sentir bien;to feel comfortable;Ich fühle mich hier sehr wohl.;Je me sens très bien ici.;I feel very comfortable here.
expression;A1;Gefühle/Reaktionen;Keine Zeit haben;ne pas avoir le temps;to have no time;Heute habe ich keine Zeit, tut mir leid.;Aujourd'hui je n'ai pas le temps, désolé.;I have no time today, sorry.
expression;A1;Gefühle/Reaktionen;Das ist schade;c'est dommage;that's a pity;Du kommst nicht mit? Das ist schade.;Tu ne viens pas ? C'est dommage.;You're not coming? That's a pity.
expression;A1;Alltag/Organisation;Wie spät ist es?;quelle heure est-il ?;what time is it?;Entschuldigung, wie spät ist es?;Excusez-moi, quelle heure est-il ?;Excuse me, what time is it?
expression;A1;Alltag/Organisation;Um wie viel Uhr?;à quelle heure ?;at what time?;Um wie viel Uhr fährt der Zug?;À quelle heure part le train ?;At what time does the train leave?
expression;A1;Alltag/Organisation;Die Rechnung, bitte;l'addition, s'il vous plaît;the bill, please;Die Rechnung, bitte! Wir möchten zahlen.;L'addition, s'il vous plaît ! Nous voulons payer.;The bill, please! We'd like to pay.
expression;A1;Alltag/Organisation;Einkaufen gehen;aller faire les courses;to go shopping;Am Samstag gehe ich einkaufen.;Le samedi, je vais faire les courses.;On Saturdays I go shopping.
expression;A1;Alltag/Organisation;Nach Hause gehen;rentrer à la maison;to go home;Es ist spät, ich gehe nach Hause.;Il est tard, je rentre à la maison.;It's late, I'm going home.
expression;A1;Alltag/Organisation;Zur Arbeit gehen;aller au travail;to go to work;Ich gehe jeden Morgen um acht zur Arbeit.;Je vais au travail tous les matins à huit heures.;I go to work every morning at eight.
expression;A1;Alltag/Organisation;Mit dem Bus fahren;prendre le bus;to take the bus;Ich fahre mit dem Bus in die Stadt.;Je prends le bus pour aller en ville.;I take the bus into town.
expression;A1;Alltag/Organisation;Eine Pause machen;faire une pause;to take a break;Wir machen jetzt eine Pause.;Nous faisons une pause maintenant.;We're taking a break now.
expression;A1;Alltag/Organisation;Hilfe brauchen;avoir besoin d'aide;to need help;Brauchst du Hilfe mit dem Koffer?;Tu as besoin d'aide avec la valise ?;Do you need help with the suitcase?
expression;A1;Feste Verbindungen;Zeit haben;avoir le temps;to have time;Hast du morgen Zeit für einen Kaffee?;Tu as le temps demain pour un café ?;Do you have time for a coffee tomorrow?
expression;A1;Feste Verbindungen;Geburtstag haben;être son anniversaire;to have a birthday;Meine Schwester hat morgen Geburtstag.;C'est l'anniversaire de ma sœur demain.;It's my sister's birthday tomorrow.
expression;A1;Feste Verbindungen;Rad fahren;faire du vélo;to ride a bike;Im Sommer fahre ich jeden Tag Rad.;En été, je fais du vélo tous les jours.;In summer I ride my bike every day.
expression;A1;Feste Verbindungen;Auto fahren;conduire;to drive a car;Mein Bruder lernt gerade Auto fahren.;Mon frère apprend à conduire en ce moment.;My brother is learning to drive.
expression;A1;Feste Verbindungen;Zu Besuch kommen;venir en visite;to come and visit;Meine Eltern kommen am Sonntag zu Besuch.;Mes parents viennent en visite dimanche.;My parents are coming to visit on Sunday.
expression;A1;Feste Verbindungen;Frühstück machen;préparer le petit-déjeuner;to make breakfast;Am Wochenende macht mein Vater Frühstück.;Le week-end, mon père prépare le petit-déjeuner.;At the weekend my father makes breakfast.
expression;A1;Begrüßung/Small Talk;Hallo;Salut, bonjour;Hello, hi;Hallo, ich bin die neue Nachbarin.;Bonjour, je suis la nouvelle voisine.;Hello, I'm the new neighbour.
expression;A1;Begrüßung/Small Talk;Danke;Merci;Thank you;Danke, das ist sehr nett von Ihnen.;Merci, c'est très gentil de votre part.;Thank you, that's very kind of you.
expression;A1;Meinung/Zustimmung;Nein;Non;No;Nein, danke, ich habe schon gegessen.;Non merci, j'ai déjà mangé.;No thanks, I've already eaten.
expression;A2;Meinung/Zustimmung;Auf jeden Fall;En tout cas, absolument;Definitely;Kommst du mit? – Auf jeden Fall!;Tu viens ? – Absolument !;Are you coming? – Definitely!
expression;A2;Meinung/Zustimmung;Auf keinen Fall;En aucun cas;No way;Auf keinen Fall fahre ich bei diesem Wetter.;En aucun cas je ne roule par ce temps.;No way am I driving in this weather.
expression;A2;Meinung/Zustimmung;Meiner Meinung nach;À mon avis;In my opinion;Meiner Meinung nach ist die Miete zu hoch.;À mon avis, le loyer est trop élevé.;In my opinion the rent is too high.
expression;A2;Meinung/Zustimmung;Das stimmt;C'est vrai;That's true;Der Weg ist kürzer. – Das stimmt.;Le chemin est plus court. – C'est vrai.;The way is shorter. – That's true.
expression;A2;Meinung/Zustimmung;Das finde ich auch;Je suis du même avis;I think so too;Der Film war langweilig. – Das finde ich auch.;Le film était ennuyeux. – Je suis du même avis.;The film was boring. – I think so too.
expression;A2;Diskussion/Nuance;Es kommt darauf an;Ça dépend;It depends;Fährst du mit dem Auto? – Es kommt darauf an.;Tu y vas en voiture ? – Ça dépend.;Are you going by car? – It depends.
expression;A2;Diskussion/Nuance;Zum Beispiel;Par exemple;For example;Nimm etwas Warmes mit, zum Beispiel einen Schal.;Prends quelque chose de chaud, par exemple une écharpe.;Take something warm, for example a scarf.
expression;A2;Diskussion/Nuance;Und so weiter;Et ainsi de suite;And so on;Wir brauchen Brot, Milch und so weiter.;Il nous faut du pain, du lait et ainsi de suite.;We need bread, milk and so on.
expression;A2;Diskussion/Nuance;Vor allem;Surtout;Above all;Vor allem brauchst du Geduld.;Surtout, il te faut de la patience.;Above all you need patience.
expression;A2;Alltag/Organisation;Im Moment;En ce moment;At the moment;Im Moment suche ich eine neue Wohnung.;En ce moment, je cherche un nouvel appartement.;At the moment I'm looking for a new flat.
expression;A2;Alltag/Organisation;So schnell wie möglich;Le plus vite possible;As soon as possible;Bitte antworten Sie so schnell wie möglich.;Répondez le plus vite possible, s'il vous plaît.;Please answer as soon as possible.
expression;A2;Feste Verbindungen;Bescheid sagen;prévenir, faire savoir;to let someone know;Sag mir bitte Bescheid, wenn du da bist.;Préviens-moi quand tu es là, s'il te plaît.;Please let me know when you're there.
expression;A2;Feste Verbindungen;Bescheid wissen;être au courant;to be in the know;Der Chef weiß schon Bescheid.;Le patron est déjà au courant.;The boss already knows about it.
expression;A2;Feste Verbindungen;eine Frage stellen;poser une question;to ask a question;Darf ich eine Frage stellen?;Puis-je poser une question ?;May I ask a question?
expression;A2;Feste Verbindungen;einen Termin machen;prendre rendez-vous;to make an appointment;Ich möchte einen Termin beim Arzt machen.;Je voudrais prendre rendez-vous chez le médecin.;I'd like to make an appointment with the doctor.
expression;A2;Feste Verbindungen;Sport treiben;faire du sport;to do sports;Sie treibt dreimal pro Woche Sport.;Elle fait du sport trois fois par semaine.;She does sports three times a week.
expression;A2;Feste Verbindungen;Rücksicht nehmen;faire attention aux autres;to be considerate;Bitte nimm Rücksicht auf die Nachbarn.;Fais attention aux voisins, s'il te plaît.;Please be considerate towards the neighbours.
expression;A2;Alltag/Organisation;zu Fuß gehen;aller à pied;to walk, to go on foot;Bei gutem Wetter gehe ich zu Fuß.;Quand il fait beau, je vais à pied.;In good weather I go on foot.
expression;A2;Gefühle/Reaktionen;Wie schade;Quel dommage;What a shame;Das Konzert fällt aus. – Wie schade!;Le concert est annulé. – Quel dommage !;The concert is cancelled. – What a shame!
expression;A2;Gefühle/Reaktionen;Zum Glück;Heureusement;Luckily;Zum Glück hat es nicht geregnet.;Heureusement, il n'a pas plu.;Luckily it didn't rain.
expression;A2;Gefühle/Reaktionen;Leider nicht;Malheureusement pas;Unfortunately not;Hast du den Termin bekommen? – Leider nicht.;Tu as eu le rendez-vous ? – Malheureusement pas.;Did you get the appointment? – Unfortunately not.
expression;A2;Gefühle/Reaktionen;Was für ein Pech;Quelle malchance;What bad luck;Der Zug ist weg – was für ein Pech!;Le train est parti – quelle malchance !;The train's gone – what bad luck!
expression;A2;Begrüßung/Small Talk;Viel Erfolg;Bonne chance (réussite);Good luck;Viel Erfolg bei der Prüfung!;Bonne chance pour l'examen !;Good luck with the exam!
expression;A2;Begrüßung/Small Talk;Gute Besserung;Bon rétablissement;Get well soon;Du bist krank? Gute Besserung!;Tu es malade ? Bon rétablissement !;You're ill? Get well soon!
expression;A2;Begrüßung/Small Talk;Schönen Feierabend;Bonne fin de journée (après le travail);Have a nice evening after work;Ich gehe jetzt – schönen Feierabend!;J'y vais – bonne soirée !;I'm off now – have a nice evening!
expression;A2;Begrüßung/Small Talk;Wie geht es Ihnen?;Comment allez-vous ?;How are you? (formal);Guten Tag, Frau Meier, wie geht es Ihnen?;Bonjour Madame Meier, comment allez-vous ?;Good morning Mrs Meier, how are you?
expression;A2;Meinung/Zustimmung;Ich bin der Meinung;Je suis d'avis;I'm of the opinion;Ich bin der Meinung, dass wir warten sollten.;Je suis d'avis que nous devrions attendre.;I'm of the opinion that we should wait.
expression;A2;Meinung/Zustimmung;Das ist mir egal;Ça m'est égal;I don't mind;Pizza oder Pasta? – Das ist mir egal.;Pizza ou pâtes ? – Ça m'est égal.;Pizza or pasta? – I don't mind.
expression;A2;Alltag/Organisation;im Voraus;à l'avance;in advance;Vielen Dank im Voraus für Ihre Hilfe.;Merci d'avance pour votre aide.;Many thanks in advance for your help.
expression;A2;Diskussion/Nuance;auf einmal;tout d'un coup;all at once;Auf einmal wurde es ganz still.;Tout d'un coup, le silence s'est fait.;All at once it went completely quiet.
expression;A2;Alltag/Organisation;noch einmal;encore une fois;once more;Können Sie das noch einmal erklären?;Pouvez-vous expliquer cela encore une fois ?;Could you explain that once more?
expression;A2;Diskussion/Nuance;und zwar;et plus précisément;namely, and specifically;Wir treffen uns morgen, und zwar um acht.;Nous nous voyons demain, et plus précisément à huit heures.;We're meeting tomorrow, namely at eight.
expression;A2;Feste Verbindungen;Platz nehmen;prendre place;to take a seat;Bitte nehmen Sie Platz.;Veuillez prendre place.;Please take a seat.
expression;A2;Feste Verbindungen;eine Entscheidung treffen;prendre une décision;to make a decision;Wir müssen bald eine Entscheidung treffen.;Nous devons bientôt prendre une décision.;We have to make a decision soon.
expression;A2;Meinung/Zustimmung;in Ordnung;d'accord, en ordre;all right;Treffen wir uns um sieben? – In Ordnung.;On se voit à sept heures ? – D'accord.;Shall we meet at seven? – All right.
expression;A2;Meinung/Zustimmung;Das geht klar;Ça marche;That works;Kannst du am Freitag? – Das geht klar.;Tu peux vendredi ? – Ça marche.;Can you do Friday? – That works.
expression;A2;Begrüßung/Small Talk;Lange nicht gesehen;ça fait longtemps;long time no see;Hallo Tom, lange nicht gesehen!;Salut Tom, ça fait longtemps !;Hi Tom, long time no see!
expression;A2;Begrüßung/Small Talk;Wie war dein Tag?;comment s'est passée ta journée ?;how was your day?;Setz dich, wie war dein Tag?;Assieds-toi, comment s'est passée ta journée ?;Sit down, how was your day?
expression;A2;Begrüßung/Small Talk;Grüß dich;salut;hi there;Grüß dich, schön dass du kommst!;Salut, content que tu viennes !;Hi there, glad you're coming!
expression;A2;Begrüßung/Small Talk;Alles klar?;ça va ?;everything okay?;Du siehst müde aus, alles klar?;Tu as l'air fatigué, ça va ?;You look tired, everything okay?
expression;A2;Begrüßung/Small Talk;Bis dann;à plus tard;see you then;Wir treffen uns um sieben. Bis dann!;On se retrouve à sept heures. À plus tard !;We're meeting at seven. See you then!
expression;A2;Meinung/Zustimmung;Ich bin sicher;je suis sûr;I'm sure;Ich bin sicher, dass er kommt.;Je suis sûr qu'il viendra.;I'm sure he'll come.
expression;A2;Meinung/Zustimmung;Da hast du recht;tu as raison là-dessus;you're right about that;Das ist zu teuer. — Da hast du recht.;C'est trop cher. — Tu as raison là-dessus.;That's too expensive. — You're right about that.
expression;A2;Meinung/Zustimmung;Ganz genau;exactement;exactly;Du meinst, wir sollten warten? — Ganz genau.;Tu veux dire qu'on devrait attendre ? — Exactement.;You mean we should wait? — Exactly.
expression;A2;Meinung/Zustimmung;Das sehe ich anders;je ne vois pas les choses ainsi;I see it differently;Das sehe ich anders, lass mich erklären.;Je ne vois pas les choses ainsi, laisse-moi expliquer.;I see it differently, let me explain.
expression;A2;Meinung/Zustimmung;Ich bin nicht sicher;je ne suis pas sûr;I'm not sure;Ich bin nicht sicher, ob das stimmt.;Je ne suis pas sûr que ce soit vrai.;I'm not sure that's right.
expression;A2;Meinung/Zustimmung;Was meinst du?;qu'en penses-tu ?;what do you think?;Wir könnten früher fahren. Was meinst du?;On pourrait partir plus tôt. Qu'en penses-tu ?;We could leave earlier. What do you think?
expression;A2;Meinung/Zustimmung;Ohne Zweifel;sans aucun doute;without a doubt;Das ist ohne Zweifel die beste Lösung.;C'est sans aucun doute la meilleure solution.;That is without a doubt the best solution.
expression;A2;Meinung/Zustimmung;Das kommt drauf an;ça dépend;that depends;Fährst du mit? — Das kommt drauf an, wann.;Tu viens ? — Ça dépend quand.;Are you coming? — That depends on when.
expression;A2;Gefühle/Reaktionen;Sich ärgern über;s'énerver contre;to be annoyed about;Ich ärgere mich über den Lärm.;Je m'énerve contre le bruit.;I'm annoyed about the noise.
expression;A2;Gefühle/Reaktionen;Sich aufregen über;s'emporter à propos de;to get worked up about;Reg dich nicht über die Verspätung auf.;Ne t'emporte pas à propos du retard.;Don't get worked up about the delay.
expression;A2;Gefühle/Reaktionen;Sich langweilen;s'ennuyer;to be bored;Die Kinder langweilen sich bei Regen.;Les enfants s'ennuient quand il pleut.;The children get bored when it rains.
expression;A2;Gefühle/Reaktionen;Erleichtert sein;être soulagé;to be relieved;Ich bin erleichtert, dass alles gut ging.;Je suis soulagé que tout se soit bien passé.;I'm relieved everything went well.
expression;A2;Gefühle/Reaktionen;Enttäuscht sein;être déçu;to be disappointed;Sie war enttäuscht von dem Ergebnis.;Elle était déçue du résultat.;She was disappointed by the result.
expression;A2;Gefühle/Reaktionen;Stolz sein auf;être fier de;to be proud of;Wir sind stolz auf unsere Tochter.;Nous sommes fiers de notre fille.;We are proud of our daughter.
expression;A2;Gefühle/Reaktionen;Sich schämen;avoir honte;to be ashamed;Er schämt sich für seinen Fehler.;Il a honte de son erreur.;He is ashamed of his mistake.
expression;A2;Gefühle/Reaktionen;Nervös sein;être nerveux;to be nervous;Vor der Prüfung bin ich immer nervös.;Avant l'examen, je suis toujours nerveux.;I'm always nervous before an exam.
expression;A2;Alltag/Organisation;Einen Termin absagen;annuler un rendez-vous;to cancel an appointment;Ich muss den Termin leider absagen.;Je dois malheureusement annuler le rendez-vous.;Unfortunately I have to cancel the appointment.
expression;A2;Alltag/Organisation;Eine Nachricht hinterlassen;laisser un message;to leave a message;Bitte hinterlassen Sie eine Nachricht.;Veuillez laisser un message.;Please leave a message.
expression;A2;Alltag/Organisation;Sich verspäten;être en retard;to be late;Der Zug hat sich um zehn Minuten verspätet.;Le train a eu dix minutes de retard.;The train was ten minutes late.
expression;A2;Alltag/Organisation;Pünktlich sein;être ponctuel;to be on time;In Deutschland ist es wichtig, pünktlich zu sein.;En Allemagne, il est important d'être ponctuel.;In Germany it's important to be on time.
expression;A2;Alltag/Organisation;Die Wohnung putzen;faire le ménage;to clean the flat;Samstags putze ich die Wohnung.;Le samedi, je fais le ménage.;On Saturdays I clean the flat.
expression;A2;Alltag/Organisation;Die Wäsche machen;faire la lessive;to do the laundry;Wer macht diese Woche die Wäsche?;Qui fait la lessive cette semaine ?;Who is doing the laundry this week?
expression;A2;Alltag/Organisation;Ordnung machen;faire du rangement;to tidy up;Bevor die Gäste kommen, machen wir Ordnung.;Avant l'arrivée des invités, on fait du rangement.;Before the guests arrive, we tidy up.
expression;A2;Alltag/Organisation;Sich anmelden;s'inscrire;to register;Du musst dich für den Kurs anmelden.;Tu dois t'inscrire au cours.;You have to register for the course.
expression;A2;Alltag/Organisation;Sich kümmern um;s'occuper de;to take care of;Meine Nachbarin kümmert sich um die Katze.;Ma voisine s'occupe du chat.;My neighbour takes care of the cat.
expression;A2;Diskussion/Nuance;Auf der einen Seite;d'un côté;on the one hand;Auf der einen Seite ist es teuer, auf der anderen sehr praktisch.;D'un côté c'est cher, de l'autre très pratique.;On the one hand it's expensive, on the other very practical.
expression;A2;Diskussion/Nuance;Zum Schluss;pour finir;finally;Zum Schluss möchte ich mich bedanken.;Pour finir, je voudrais remercier.;Finally, I would like to say thank you.
expression;A2;Diskussion/Nuance;Erstens ... zweitens;premièrement ... deuxièmement;firstly ... secondly;Erstens ist es zu spät, zweitens bin ich müde.;Premièrement il est trop tard, deuxièmement je suis fatigué.;Firstly it's too late, secondly I'm tired.
expression;A2;Diskussion/Nuance;Kurz gesagt;en bref;in short;Kurz gesagt: der Plan funktioniert nicht.;En bref : le plan ne fonctionne pas.;In short: the plan doesn't work.
expression;A2;Diskussion/Nuance;Und trotzdem;et pourtant;and yet;Es war kalt und trotzdem sind wir schwimmen gegangen.;Il faisait froid et pourtant nous sommes allés nager.;It was cold and yet we went swimming.
expression;A2;Feste Verbindungen;Einen Fehler machen;faire une erreur;to make a mistake;Jeder macht mal einen Fehler.;Tout le monde fait une erreur de temps en temps.;Everyone makes a mistake sometimes.
expression;A2;Feste Verbindungen;Einen Vorschlag machen;faire une proposition;to make a suggestion;Darf ich einen Vorschlag machen?;Puis-je faire une proposition ?;May I make a suggestion?
expression;A2;Feste Verbindungen;Eine Prüfung bestehen;réussir un examen;to pass an exam;Sie hat die Prüfung mit Eins bestanden.;Elle a réussi l'examen avec la meilleure note.;She passed the exam with top marks.
expression;A2;Feste Verbindungen;Interesse haben an;s'intéresser à;to be interested in;Er hat großes Interesse an Geschichte.;Il s'intéresse beaucoup à l'histoire.;He has a great interest in history.
expression;A2;Feste Verbindungen;Sich interessieren für;s'intéresser à;to be interested in;Ich interessiere mich für Musik.;Je m'intéresse à la musique.;I'm interested in music.
expression;A2;Begrüßung/Small Talk;Gute Reise;bon voyage;have a good trip;Gute Reise und melde dich!;Bon voyage et donne des nouvelles !;Have a good trip and stay in touch!
expression;A2;Begrüßung/Small Talk;Viel Spaß;amuse-toi bien;have fun;Viel Spaß auf dem Konzert!;Amuse-toi bien au concert !;Have fun at the concert!
expression;A2;Begrüßung/Small Talk;Alles Gute zum Geburtstag;joyeux anniversaire;happy birthday;Alles Gute zum Geburtstag, Oma!;Joyeux anniversaire, mamie !;Happy birthday, Grandma!
expression;A2;Begrüßung/Small Talk;Herzlichen Dank;merci beaucoup;many thanks;Herzlichen Dank für Ihre Hilfe.;Merci beaucoup pour votre aide.;Many thanks for your help.
expression;A2;Begrüßung/Small Talk;Nichts zu danken;il n'y a pas de quoi;don't mention it;Danke fürs Mitnehmen! — Nichts zu danken.;Merci de m'avoir emmené ! — Il n'y a pas de quoi.;Thanks for the lift! — Don't mention it.
expression;A2;Begrüßung/Small Talk;Was ist los?;qu'est-ce qui se passe ?;what's wrong?;Du bist so still, was ist los?;Tu es si silencieux, qu'est-ce qui se passe ?;You're so quiet, what's wrong?
expression;A2;Meinung/Zustimmung;Keine Sorge;pas d'inquiétude;no worries;Keine Sorge, ich hole dich ab.;Pas d'inquiétude, je viens te chercher.;No worries, I'll pick you up.
expression;A2;Meinung/Zustimmung;Das ist nett von dir;c'est gentil de ta part;that's kind of you;Du hast eingekauft? Das ist nett von dir.;Tu as fait les courses ? C'est gentil de ta part.;You did the shopping? That's kind of you.
expression;A2;Meinung/Zustimmung;Das ist ja toll;c'est super;that's great;Du hast den Job? Das ist ja toll!;Tu as le poste ? C'est super !;You got the job? That's great!
expression;A2;Gefühle/Reaktionen;Es geht mir gut;je vais bien;I'm doing well;Danke der Nachfrage, es geht mir gut.;Merci de demander, je vais bien.;Thanks for asking, I'm doing well.
