type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
nombre;A1;Grundzahlen — compter;zwanzig;20 (vingt);20 (twenty);Das kostet zwanzig Euro.;Cela coûte vingt euros.;That costs twenty euros.
nombre;A1;Zehner — les dizaines;dreißig;30 (trente) — seul à s'écrire en -ßig;30 (thirty);Der Weg dauert dreißig Minuten.;Le trajet dure trente minutes.;The journey takes thirty minutes.
nombre;A1;Zehner — les dizaines;vierzig;40 (quarante);40 (forty);Sie arbeitet vierzig Stunden die Woche.;Elle travaille quarante heures par semaine.;She works forty hours a week.
nombre;A1;Zehner — les dizaines;fünfzig;50 (cinquante);50 (fifty);Das Buch hat fünfzig Seiten.;Le livre a cinquante pages.;The book has fifty pages.
nombre;A1;Zehner — les dizaines;sechzig;60 (soixante) — sans le s de sechs;60 (sixty);Eine Stunde hat sechzig Minuten.;Une heure a soixante minutes.;An hour has sixty minutes.
nombre;A1;Zehner — les dizaines;siebzig;70 (soixante-dix) — sans le -en de sieben;70 (seventy);Mein Großvater ist siebzig.;Mon grand-père a soixante-dix ans.;My grandfather is seventy.
nombre;A1;Zehner — les dizaines;achtzig;80 (quatre-vingts);80 (eighty);Auf der Landstraße gilt achtzig.;Sur la route, la limite est à quatre-vingts.;On the country road the limit is eighty.
nombre;A1;Zehner — les dizaines;neunzig;90 (quatre-vingt-dix);90 (ninety);Das Spiel dauert neunzig Minuten.;Le match dure quatre-vingt-dix minutes.;The match lasts ninety minutes.
nombre;A1;Zehner — les dizaines;hundert;100 (cent);100 (a hundred);Hundert Gramm Käse, bitte.;Cent grammes de fromage, s'il vous plaît.;A hundred grams of cheese, please.
nombre;A1;Nombres composés — l'ordre s'inverse;einundzwanzig;21 (vingt et un) — l'unité d'abord;21 (twenty-one);Er wird nächsten Monat einundzwanzig.;Il aura vingt et un ans le mois prochain.;He turns twenty-one next month.
nombre;A2;Nombres composés — l'ordre s'inverse;zweiunddreißig;32 (trente-deux);32 (thirty-two);Das Zimmer hat die Nummer zweiunddreißig.;La chambre porte le numéro trente-deux.;The room is number thirty-two.
nombre;A2;Nombres composés — l'ordre s'inverse;siebenundvierzig;47 (quarante-sept);47 (forty-seven);Die Strecke ist siebenundvierzig Kilometer lang.;Le parcours fait quarante-sept kilomètres.;The route is forty-seven kilometres long.
nombre;A2;Nombres composés — l'ordre s'inverse;achtundsechzig;68 (soixante-huit);68 (sixty-eight);Meine Mutter ist achtundsechzig Jahre alt.;Ma mère a soixante-huit ans.;My mother is sixty-eight.
nombre;A2;Nombres composés — l'ordre s'inverse;neunundneunzig;99 (quatre-vingt-dix-neuf);99 (ninety-nine);Das Angebot kostet neunundneunzig Euro.;L'offre coûte quatre-vingt-dix-neuf euros.;The offer costs ninety-nine euros.
nombre;A2;Nombres composés — l'ordre s'inverse;hunderteins;101 (cent un) — en un seul mot;101 (a hundred and one);Der Roman hat hunderteins Kapitel.;Le roman a cent un chapitres.;The novel has a hundred and one chapters.
nombre;A2;Nombres composés — l'ordre s'inverse;zweihundertvierunddreißig;234 (deux cent trente-quatre);234 (two hundred and thirty-four);Die Halle fasst zweihundertvierunddreißig Personen.;La salle contient deux cent trente-quatre personnes.;The hall holds two hundred and thirty-four people.
nombre;A2;Nombres composés — l'ordre s'inverse;neunhundertneunundneunzig;999 (neuf cent quatre-vingt-dix-neuf);999 (nine hundred and ninety-nine);Der Laptop kostet neunhundertneunundneunzig Euro.;L'ordinateur coûte neuf cent quatre-vingt-dix-neuf euros.;The laptop costs nine hundred and ninety-nine euros.
nombre;A2;Grands nombres;tausend;1 000 (mille);1,000 (a thousand);Die Stadt hat tausend Einwohner.;La ville compte mille habitants.;The town has a thousand inhabitants.
nombre;A2;Grands nombres;fünftausend;5 000 (cinq mille);5,000 (five thousand);Der Saal bietet fünftausend Plätze.;La salle offre cinq mille places.;The hall seats five thousand.
nombre;A2;Grands nombres;zehntausend;10 000 (dix mille);10,000 (ten thousand);Ich gehe zehntausend Schritte am Tag.;Je fais dix mille pas par jour.;I walk ten thousand steps a day.
nombre;B1;Grands nombres;fünfundzwanzigtausend;25 000 (vingt-cinq mille);25,000 (twenty-five thousand);Das Auto kostet fünfundzwanzigtausend Euro.;La voiture coûte vingt-cinq mille euros.;The car costs twenty-five thousand euros.
nombre;B1;Grands nombres;hunderttausend;100 000 (cent mille);100,000 (a hundred thousand);Die Firma hat hunderttausend Kunden.;L'entreprise a cent mille clients.;The company has a hundred thousand customers.
nombre;B1;Grands nombres;eine Million;1 000 000 (un million) — nom féminin, séparé;1,000,000 (a million);Die Stadt hat über eine Million Einwohner.;La ville compte plus d'un million d'habitants.;The city has over a million inhabitants.
nombre;B1;Grands nombres;eine Milliarde;1 000 000 000 (un milliard) — faux ami de « billion »;1,000,000,000 (a billion);Das Projekt kostet eine Milliarde Euro.;Le projet coûte un milliard d'euros.;The project costs a billion euros.
nombre;B1;Millésimes;achtzehnhundertachtundvierzig;1848 — par centaines : 18 cent 48;1848 — eighteen hundred forty-eight;Die Revolution von achtzehnhundertachtundvierzig veränderte Europa.;La révolution de 1848 a changé l'Europe.;The revolution of 1848 changed Europe.
nombre;A2;Millésimes;neunzehnhundert;1900 — 19 cent, sans rien après;1900;Das Haus stammt aus dem Jahr neunzehnhundert.;La maison date de l'an 1900.;The house dates from 1900.
nombre;A2;Millésimes;neunzehnhundertfünfundvierzig;1945;1945;Der Krieg endete neunzehnhundertfünfundvierzig.;La guerre s'est terminée en 1945.;The war ended in 1945.
nombre;A2;Millésimes;neunzehnhundertneunundachtzig;1989;1989;Die Mauer fiel neunzehnhundertneunundachtzig.;Le Mur est tombé en 1989.;The Wall fell in 1989.
nombre;A2;Millésimes;neunzehnhundertneunundneunzig;1999 — le dernier en « cent »;1999;Sie ist neunzehnhundertneunundneunzig geboren.;Elle est née en 1999.;She was born in 1999.
nombre;A2;Millésimes;zweitausend;2000 — le système change : plus de « cent »;2000;Im Jahr zweitausend gab es die große Angst vor dem Datum.;En l'an 2000, on craignait beaucoup la date.;In the year 2000 there was great fear about the date.
nombre;A2;Millésimes;zweitausendfünf;2005;2005;Wir sind zweitausendfünf umgezogen.;Nous avons déménagé en 2005.;We moved in 2005.
nombre;A2;Millésimes;zweitausendzwanzig;2020;2020;Zweitausendzwanzig blieb die Welt zu Hause.;En 2020, le monde est resté à la maison.;In 2020 the world stayed home.
nombre;A2;Millésimes;zweitausendsechsundzwanzig;2026;2026;Der Vertrag läuft bis zweitausendsechsundzwanzig.;Le contrat court jusqu'en 2026.;The contract runs until 2026.
nombre;A1;Ordinaux — premier, deuxième…;erste;1er, première — irrégulier;first;Am ersten Januar beginnt das Jahr.;L'année commence le premier janvier.;The year starts on the first of January.
nombre;A1;Ordinaux — premier, deuxième…;zweite;2e, deuxième;second;Sie wohnt im zweiten Stock.;Elle habite au deuxième étage.;She lives on the second floor.
nombre;A1;Ordinaux — premier, deuxième…;dritte;3e, troisième — irrégulier;third;Das ist mein dritter Versuch.;C'est mon troisième essai.;That's my third attempt.
nombre;A1;Ordinaux — premier, deuxième…;vierte;4e, quatrième;fourth;Der vierte Platz bringt keine Medaille.;La quatrième place ne donne pas de médaille.;Fourth place wins no medal.
nombre;A1;Ordinaux — premier, deuxième…;fünfte;5e, cinquième;fifth;Heute ist der fünfte Mai.;Aujourd'hui, c'est le cinq mai.;Today is the fifth of May.
nombre;A1;Ordinaux — premier, deuxième…;sechste;6e, sixième;sixth;Mein Sohn geht in die sechste Klasse.;Mon fils est en sixième année.;My son is in the sixth grade.
nombre;A2;Ordinaux — premier, deuxième…;siebte;7e, septième — sans le -en de sieben;seventh;Der siebte Tag ist ein Ruhetag.;Le septième jour est un jour de repos.;The seventh day is a rest day.
nombre;A2;Ordinaux — premier, deuxième…;achte;8e, huitième — un seul t;eighth;Sie kam als Achte ins Ziel.;Elle est arrivée huitième.;She finished eighth.
nombre;A2;Ordinaux — premier, deuxième…;neunte;9e, neuvième;ninth;Beethovens neunte Sinfonie ist berühmt.;La neuvième symphonie de Beethoven est célèbre.;Beethoven's ninth symphony is famous.
nombre;A2;Ordinaux — premier, deuxième…;zehnte;10e, dixième;tenth;Zum zehnten Mal frage ich dich.;C'est la dixième fois que je te le demande.;I'm asking you for the tenth time.
nombre;A2;Ordinaux — premier, deuxième…;zwölfte;12e, douzième;twelfth;Die zwölfte Runde entschied den Kampf.;Le douzième round a décidé du combat.;The twelfth round decided the fight.
nombre;A2;Ordinaux — premier, deuxième…;zwanzigste;20e, vingtième — à partir de 20, on met -ste;twentieth;Am zwanzigsten Juni ist Sommeranfang.;L'été commence le vingt juin.;Summer starts on the twentieth of June.
nombre;B1;Ordinaux — premier, deuxième…;einundzwanzigste;21e, vingt et unième;twenty-first;Wir leben im einundzwanzigsten Jahrhundert.;Nous vivons au vingt et unième siècle.;We live in the twenty-first century.
nombre;B1;Ordinaux — premier, deuxième…;dreißigste;30e, trentième;thirtieth;Der dreißigste April ist ein Feiertag in einigen Regionen.;Le trentième jour d'avril est férié dans certaines régions.;The thirtieth of April is a holiday in some regions.
nombre;B1;Ordinaux — premier, deuxième…;hundertste;100e, centième;hundredth;Sie feiert ihren hundertsten Geburtstag.;Elle fête son centième anniversaire.;She is celebrating her hundredth birthday.
